ID,RE1,RE2,RE3,RE4,RE5,RE6,RE7,RE8,RE9,RE10,SH1,SH2,SH3,SH4,SH5,SH6,SH7,SH8,SH9,SH10
nzY2Qcu5i2A,1,1,0,1,2,1,2,7,2,8,1,0,2,2,1,0,4,5,4,3
NUTGr5t3MoY,1,0,0,1,2,3,4,3,5,3,1,0,1,1,1,4,4,4,4,2
2tmc8rJgxUI,3,2,2,5,3,1,0,3,0,4,2,0,3,0,2,3,4,2,2,3
ye5BuYf8q4o,2,3,1,2,0,2,3,2,5,2,0,1,0,0,1,1,4,6,5,3
3T1c7GkzRQQ,2,1,3,5,1,3,1,2,1,0,1,2,1,2,2,2,4,0,1,0
Sb5aq5HcS1A,2,0,0,3,0,4,5,3,3,2,1,0,0,3,2,2,4,5,2,2
bx1Bh8ZvH84,8,2,3,6,2,1,2,2,0,1,5,2,1,2,3,1,1,3,3,1
bpOSxM0rNPM,3,0,3,3,0,3,4,1,0,0,2,3,1,3,4,2,0,1,0,0
0J2QdDbelmY,1,0,1,1,3,3,3,4,1,13,1,0,0,1,4,4,3,5,1,10
6Ejga4kJUts,3,4,0,3,2,1,5,3,1,2,4,5,6,3,1,0,2,1,1,1
r00ikilDxW4,2,0,4,1,3,3,3,4,0,0,0,4,5,5,4,1,1,0,2,0
BfOdWSiyWoc,1,0,1,1,1,1,6,1,6,3,1,0,0,1,1,3,4,7,3,3
eVTXPUF4Oz4,0,0,2,2,0,3,5,2,1,5,2,2,4,3,3,2,1,2,1,1
vx2u5uUu3DE,0,1,0,0,2,3,0,3,4,16,1,0,1,1,0,4,2,6,2,13
tuK6n2Lkza0,1,0,0,2,0,3,2,6,5,3,1,0,0,1,1,3,0,4,7,2
fJ9rUzIMcZQ,2,1,1,0,2,2,0,3,1,13,3,0,1,0,4,0,2,1,1,15
o1tj2zJ2Wvg,1,0,1,0,1,1,5,4,4,5,1,0,1,0,0,3,3,6,4,0
plvpV9p0ywg,0,0,2,2,5,6,6,3,0,1,1,0,0,2,5,9,3,1,2,1
emGri7i8Y2Y,1,0,1,0,4,10,2,3,2,3,1,0,0,2,7,4,1,5,2,3
L_jWHffIx5E,0,2,0,2,0,1,4,2,3,3,1,0,1,0,1,4,3,2,4,3
1w7OgIMMRc4,1,0,1,1,0,2,6,2,1,12,1,0,2,1,2,1,4,3,3,11
J4Eu6pFmXCg,1,0,1,1,0,4,1,4,0,3,0,2,1,2,3,1,1,3,1,2
Ek0SgwWmF9w,2,2,3,2,5,1,2,2,0,1,2,3,1,3,5,1,2,3,0,0
xwtdhWltSIg,1,4,2,4,1,2,2,2,1,0,2,3,2,4,3,1,1,0,2,1
btPJPFnesV4,1,0,1,0,0,2,6,3,3,8,1,0,0,2,1,3,2,5,3,6
SBjQ9tuuTJQ,2,0,0,3,1,3,5,2,1,3,1,1,2,2,2,1,4,3,1,0
Soa3gO7tL-c,1,1,2,1,0,0,5,1,0,5,2,2,2,5,2,1,5,0,2,1
XmSdTa9kaiQ,2,2,4,5,1,1,0,2,1,2,3,2,7,5,2,2,0,1,0,0
HgzGwKwLmgM,1,0,0,1,1,0,2,3,5,14,1,0,0,1,2,1,1,3,3,14
mpAkMk0phOs,8,2,4,4,1,0,1,3,0,0,4,0,4,9,0,0,1,2,1,0
y6Sxv-sUYtM,0,0,1,2,1,2,10,6,4,8,1,0,0,1,1,0,12,5,3,13
hT_nvWreIhg,1,2,3,1,1,4,8,6,1,0,1,1,1,3,1,3,12,2,0,4
4P3rYn4YdWY,2,2,5,4,1,2,2,1,0,0,2,4,3,6,1,1,2,0,0,0
Zi_XLOBDo_Y,1,0,3,0,2,1,1,4,6,4,1,0,0,1,3,2,5,6,1,3
rGf8GwXG0eM,0,0,2,1,1,3,6,2,1,1,0,0,1,1,0,2,8,0,2,1
GIQn8pab8Vc,3,6,2,3,2,1,0,0,0,0,2,1,1,5,2,2,2,4,0,1
luwAMFcc2f8,3,3,6,4,1,1,0,1,0,0,1,0,5,6,2,3,1,1,0,0
mTa8U0Wa0q8,6,4,7,2,0,1,0,1,0,0,2,6,3,3,0,2,2,4,1,0
3JWTaaS7LdU,7,2,3,1,3,0,4,0,1,0,7,2,4,5,3,1,1,2,0,0
8tuvz_9D7Ok,12,4,6,4,1,1,0,0,0,0,13,1,5,4,1,1,1,0,0,1
S09F5MejfBE,12,4,4,4,0,0,1,1,1,0,8,0,5,3,1,2,0,2,0,0
VdQY7BusJNU,3,1,1,2,5,1,2,3,0,0,1,3,4,2,1,3,4,0,0,0
5NV6Rdv1a3I,0,0,0,3,2,2,13,5,1,5,1,0,0,0,2,1,16,1,3,4
wV1FrqwZyKw,1,0,1,0,1,3,5,6,4,3,2,0,1,0,0,3,5,6,1,2
MDM0yAJjlBo,1,1,3,4,1,3,3,0,0,0,1,3,4,4,1,2,2,1,0,0
CevxZvSJLk8,1,0,0,0,1,1,14,8,2,3,1,0,1,0,0,2,18,7,0,2
diYAc7gB-0A,0,1,0,3,2,4,6,0,0,0,1,0,1,1,2,6,4,1,0,1
unfzfe8f9NI,1,0,0,0,2,0,7,7,5,9,1,0,0,0,1,0,8,6,4,11
xFrGuyw1V8s,0,0,1,1,1,4,1,6,4,3,0,0,2,0,1,4,5,4,3,2
i6YSThUaGnY,2,4,5,4,1,0,1,1,0,0,3,4,4,5,3,0,2,0,0,0
sOnqjkJTMaA,1,0,0,1,2,2,1,1,3,6,1,0,0,1,1,1,4,4,3,3
5pFEKVhmjnY,2,4,3,4,0,1,0,1,0,3,1,3,1,2,3,1,2,3,1,1
sVaRHJn_dgM,3,3,8,1,1,1,0,1,0,0,1,2,1,4,2,2,2,1,0,0
UKYohc4P21c,4,2,6,1,2,2,0,0,0,1,2,4,4,2,1,0,0,3,1,1
kEWB9GmDZzs,3,1,10,0,2,1,3,0,0,0,6,1,2,2,3,4,3,0,0,0
1G4isv_Fylg,1,1,2,2,1,0,8,5,0,3,1,3,0,1,3,0,12,2,1,3
RB-RcX5DS5A,7,4,5,0,1,1,0,3,0,0,7,6,1,2,1,1,2,1,0,1
dvgZkm1xWPE,1,0,1,2,1,1,8,6,5,4,0,1,2,0,1,1,11,5,4,1
